ObjectID,GlobalID,"I invite you to take part in my research study ""How are cycling practices shaped by cycling infrastructure? Insights from the Clontarf to City Centre cycleway"". Before you decide to take part, please take time to read the following information carefully. Ask questions if anything you read is not clear or if you would like more information.",I am a student at Trinity College Dublin undertaking research on cycling in Dublin as part of my dissertation in the Master of Science Smart & Sustainable Cities course. This survey aims to understand how people use the new Clontarf to City Centre cycleway and how it has influenced their cycling experience. I hope to then embed these insights into the wider academic discussion around cycling practices and perceptions in cities.,Taking part in this survey will involve answering questions about your cycling habits in general and your cycling practices on the Clontarf to City Centre cycleway specifically. Completing the survey is estimated to take 10-15 min. This survey will be open to participation until the 25th of June 2025.,"Participation is completely voluntary, and you have the right to withdraw at any time while taking the survey. All responses are anonymous. The collected data will be stored on Trinity College Dublin servers for the duration of my studies and be retained for 2 years before being deleted. Only myself and my supervisors will have access to this data. The results of this study will be used in my dissertation and may be used at student conferences in the future.","For any inquiries, please contact Emma Hegarty via e-mail hegartem@tcd.ie.",Which age bracket do you fall into?,Please select your gender.,Please select your ethnicity.,Please specify other.,What is your current employment status?,What is your highest educational attainment?,Does someone in your household own a car?,Do you own a bike?,Do you use bike sharing services like DublinBikes?,Have you used the Bike-To-Work scheme?,Do you usually start cycling trips from home?,Which Dublin district do you live in?,In which Dublin district do you usually start your cycling trips?,For which purposes do you usually cycle?,Please specify other.,What is your primary purpose for cycling?,Which Dublin district is your primary destination located in?,Are there bicycle parking facilities at your primary destination?,On how many days per week do you usually cycle?,For how long have you been cycling regularly?,Have you cycled regularly in the past?,"Is there a specfic reason you stopped cycling regularly and if yes, what is it?",Please specify other.,Do you use safety accessories when cycling?,Do you regularly maintain your bicycle?,Do you cycle with children under the age of 16?,"The Clontarf to City Centre cycleway stretches from Clontarf Road at the junction with Alfie Byrne Road to Amiens Street at the junction with Talbot Street, as seen in the map below.",Have you used the new Clontarf to City Centre cycleway as a cyclist?,On how many days per week do you use the new cycleway?,Did you cycle along this road before the cycleway was added?,"How has your sense of safety changed while cycling, since the introduction of the cycleway?","How has your perception of speed changed while cycling, since the introduction of the cycleway?","How has your level of stress changed while cycling, since the introduction of the cycleway?","How has your sense of safety changed while cycling, compared to your previous route?","How has your perception of speed changed while cycling, compared to your previous route?","How has your level of stress changed while cycling, compared to your previous route?",Which factors in the environment do you find most stressful while cycling?,Are there sections of the cycleway where you find it to be safer/more efficient to leave the cycleway or not follow the road rules for cyclists?,For which reasons do you leave the cycleway/break the rules?,Please specify other.,Number of Stops,Would you like to answer some additional questions on your cycling experience?,How does the section of your route on the Clontarf to Conolloy cycleway compare to sections not on the cycleway? How do you notice the transition from cycleway to shared road?,Have you noticed changes while driving a car along the new cycleway route?,Have you noticed changes while walking along the new cycleway route?,What are some changes you have noticed along the Clontarf to City Centre cycleway since its introduction?,"Your response is a valuable contribution to my study and will inform its understanding of cyclists and cycling practices in Dublin. If you have any questions or comments, please contact Emma Hegarty via e-mail hegartem@tcd.ie.",Thank you for your time and happy cycling!,CreationDate,Creator,EditDate,Editor,"Have you noticed the pedestrian traffic lights that are being trialled at the crossings to bus stops? If yes, do you think they are effective?",x,y
40,28054df3-9c28-4ec4-8979-3dfa19f78399,,,,,,2,man,white,,fullemp,4,2,no,yes,no,yes,3,,social,,,1,1,0,,no,,,0,0,0,,yes,0,no,,,,,,,"car,intersection,bus,cyclist,pedestrian",no,,,1,no,,,,,,,6/19/2025 3:01:58 PM,,6/19/2025 3:01:58 PM,,,0,0
41,97b27f4a-dcca-46b6-85ae-f17d590f96e0,,,,,,4,man,white,,fullemp,4,2,yes,no,no,yes,1,,"shopping,hobby,leisure",,leisure,1,1,2,2,,,,"1,2",1,0,,yes,2,change,,,,5,4,0,"car,pedestrian,intersection,bus,cyclist",no,,,1,yes,,1,,,,,6/19/2025 3:09:36 PM,,6/19/2025 3:09:36 PM,,,0,0
42,7a7f9f9b-6873-4b59-8260-8837b7230d9f,,,,,,2,man,white,,fullemp,3,0,yes,yes,yes,yes,7,,"work,shopping,hobby,social",,work,1,2,3,5,,,,2,2,0,,yes,0,yes,5,3,0,,,,"car,bus,intersection,cyclist,pedestrian",no,,,1,yes,Arriving at Connolly is particularly awful as there isn’t even a painted lane between there and the quays ,,2,"Nicer public realm, calmer atmosphere. Walking across side streets is much less stressful with continuous footpaths ",,,6/19/2025 3:15:36 PM,,6/19/2025 3:15:36 PM,,Pointless from both user’s perspectives ,0,0
43,e66e6e5a-0a00-4a77-8abf-9aed69fccff2,,,,,,2,man,white,,fullemp,4,2,yes,no,no,yes,5,,"work,shopping,hobby,social",,work,1,2,1,5,,,,"1,2",2,0,,yes,1,more,3,4,3,,,,"bus,car,intersection,pedestrian,cyclist",no,,,1,no,,,,,,,6/19/2025 4:05:59 PM,,6/19/2025 4:05:59 PM,,,0,0
44,d5fd9a55-2f23-4af7-8404-1341fd88551c,,,,,,1,man,white,,partemp,3,0,yes,yes,no,yes,5,,"work,education,multi-mode,social",,education,1,2,3,4,,,,"2,4",1,0,,yes,0,more,5,4,1,,,,"car,cyclist,pedestrian,intersection,bus",yes,roadquality,,1,yes,Surfaces are a lot nicer.,,3,Cleaner look to the area.,,,6/19/2025 4:10:44 PM,,6/19/2025 4:10:44 PM,,"Yes, but no I believe there are a lot of cyclists out there that still will not stop for the pedestrian lights.",0,0
45,5056e201-b4a8-4c2e-8e3f-08f5fd8b77ae,,,,,,3,woman,white,,fullemp,4,2,yes,no,yes,yes,3,,"work,shopping,hobby,social",,work,1,2,2,5,,,,"1,2",1,0,,yes,2,yes,5,3,1,,,,"car,intersection,pedestrian,bus,cyclist",no,,,1,yes,It's much safer on the new cycle path. You immediately feel less safe when transitioning to shared road. ,0,1,"There have been additional pedestrian crossings added in, which can slow you down when cycling but overall I think its a good thing for pedestrians.  ",,,6/19/2025 4:11:36 PM,,6/19/2025 4:11:36 PM,,Yes I have noticed them. They would be very effective if more cyclists adhered to the traffic lights but unfortunately a lot don't. I fear it may take a serious incident for people to obey these correctly and for gards to enforce it. ,0,0
46,897f07fd-a316-4a01-8214-51501d760878,,,,,,4,man,white,,fullemp,4,2,yes,no,no,yes,3,,"work,multi-mode,social,leisure",,social,2,1,3,5,,,,"2,4",1,0,,yes,2,yes,4,1,4,,,,"cyclist,intersection,bus,pedestrian,car",yes,"busstop,pedestrians,cyclists,trafficlight,roadside",,1,yes,"Cycle lane far too narrow, bike lights are far too slow, so generally ignored, Westwood gym parking is a big issue, cars keep blocking the new cycle lane",0,3,"Racing bike clubs in groups sit in the traffic on the main roads (regardless of the new cycle lanes), and slow down traffic at weekends particularly so along as far as St Anne's park/ watermill road.  Some sections of main road should really have no cycling logos on the ground tomforce the. Back into the newly provisioned cycle lanes",,,6/19/2025 4:23:08 PM,,6/19/2025 4:23:08 PM,,"These should just be flashing amber all the time, and forget the full red as cyclists ignore them as they stay red for far too long.  ",0,0
47,c6116d72-6240-463b-8926-5cbaf90ae2c4,,,,,,2,man,white,,fullemp,4,1,yes,no,no,yes,6,,"work,hobby,social",,work,1,2,3,4,,,,"1,2",1,0,,yes,0,no,,,,,,,"intersection,bus,cyclist,pedestrian,car",yes,trafficlight,,0,no,,,,,,,6/19/2025 4:29:35 PM,,6/19/2025 4:29:35 PM,,,0,0
48,35aceed0-b82b-4f5b-8106-5719da30ce41,,,,,,3,woman,white,,fullemp,4,0,yes,no,yes,yes,13,,"work,leisure",,work,1,2,0,,yes,other,Weather not good enough ,"2,3,4",2,0,,yes,0,yes,4,4,1,,,,"car,bus,pedestrian,intersection,cyclist",yes,"roadquality,other",Vans trucks cars parked in the cycle lane ,1,yes,,,,,,,6/19/2025 4:36:38 PM,,6/19/2025 4:36:38 PM,,,0,0
49,41d2272e-5eb8-4f7a-8cb6-b247d83d9974,,,,,,2,man,white,,fullemp,4,3,yes,no,yes,yes,9,,"shopping,hobby,social,leisure",,hobby,3,2,2,5,,,,"1,2,3,4",1,0,,yes,0,yes,5,4,1,,,,"car,bus,intersection,cyclist,pedestrian",no,,,1,no,,,,,,,6/19/2025 5:01:11 PM,,6/19/2025 5:01:11 PM,,,0,0
50,71714455-02b3-4848-8da0-999cca6388ea,,,,,,3,man,white,,fullemp,4,2,yes,no,yes,yes,22,,"shopping,hobby,leisure",,leisure,22,2,2,5,,,,"1,2,3",1,1,,yes,0,yes,4,4,1,,,,"car,bus,pedestrian,intersection,cyclist",yes,roadquality,,1,yes,,1,1,,,,6/19/2025 5:09:53 PM,,6/19/2025 5:09:53 PM,,,0,0
51,69cab575-1972-4c37-83f7-9066b564cfdf,,,,,,3,man,white,,fullemp,4,2,yes,no,yes,yes,9,,"work,social,leisure",,work,2,2,1,5,,,,"1,2,3",1,1,,yes,1,yes,4,4,0,,,,"pedestrian,cyclist,intersection,bus,car",no,,,1,no,,,,,,,6/19/2025 5:16:52 PM,,6/19/2025 5:16:52 PM,,,0,0
52,7c235103-2bec-4b1f-86d9-f3d5cb644444,,,,,,2,man,na,,"fullemp,fulled",4,0,no,yes,no,yes,7,,"work,education,social,leisure",,work,9,1,3,1,,,,0,0,0,,yes,0,no,,,,,,,"car,intersection,bus,pedestrian,cyclist",yes,"roadquality,busstop,pedestrians,intersection,roadside",,1,no,,,,,,,6/19/2025 5:25:22 PM,,6/19/2025 5:25:22 PM,,,0,0
53,8e6d99c8-7161-4962-8ae0-cc0b274a9b59,,,,,,3,man,white,,fullemp,4,1,yes,yes,yes,yes,3,,"work,shopping,hobby,social,leisure",,work,8,2,3,5,,,,2,1,0,,yes,3,yes,5,4,1,,,,"car,intersection,bus,cyclist,pedestrian",no,,,1,no,,,,,,,6/19/2025 5:34:33 PM,,6/19/2025 5:34:33 PM,,,0,0
54,5c508a77-9f14-4535-84b6-43138c05e9e3,,,,,,4,man,white,,fullemp,4,0,yes,yes,yes,yes,8,,"work,social,leisure",,work,2,2,2,5,,,,"1,2,3",1,0,,yes,0,more,5,3,0,,,,"car,intersection,cyclist,pedestrian,bus",yes,trafficlight,,2,yes,,,,,,,6/19/2025 5:34:47 PM,,6/19/2025 5:34:47 PM,,,0,0
55,eef24167-371c-4548-8618-d05f9bc6f6b5,,,,,,3,man,white,,fullemp,4,2,yes,no,yes,yes,5,,work,,,2,2,1,5,,,,"1,2,3,4",1,0,,yes,1,yes,5,4,0,,,,"car,cyclist,pedestrian,intersection,bus",yes,"trafficlight,other",Flashing orange lights are not really adhered to by cars so easier when red for cars.,1,no,,,,,,,6/19/2025 5:52:06 PM,,6/19/2025 5:52:06 PM,,,0,0
56,cde8a6ec-9053-4957-88e0-960ae8ec1040,,,,,,2,man,white,,fullemp,4,2,yes,no,yes,yes,8,,"social,leisure",,leisure,8,2,2,4,,,,"1,2,4",1,0,,yes,0,yes,3,0,4,,,,"cyclist,pedestrian,bus,intersection,car",yes,"roadquality,pedestrians,cyclists",,1,yes,"It's very narrow and impossible to overtake slower cyclists.  
Going on south circular road or the quays is much wider and faster",2,2,,,,6/19/2025 5:53:12 PM,,6/19/2025 5:53:12 PM,,,0,0
57,aef78d5a-5cf9-4d2a-8fea-5a3d4b72b1f8,,,,,,2,man,white,,fullemp,4,2,no,yes,yes,no,,1,"work,multi-mode",,multi-mode,3,2,2,5,,,,"1,2,3,4",1,0,,yes,2,yes,4,3,1,,,,"cyclist,bus,intersection,car,pedestrian",no,,,1,no,,,,,,,6/19/2025 6:14:28 PM,,6/19/2025 6:14:28 PM,,,0,0
58,5d969d85-83e6-4617-80db-5d1d0ec9a1bb,,,,,,5,na,white,,fullemp,4,2,yes,no,yes,yes,3,,"work,leisure",,leisure,3,2,0,,yes,none,,"3,4",2,0,,yes,0,yes,4,4,3,,,,"cyclist,intersection,car,pedestrian,bus",unsure,"roadquality,busstop,roadside",,1,yes,,4,2,,,,6/19/2025 8:26:09 PM,,6/19/2025 8:26:09 PM,,No,0,0
59,179c8b7d-a2a4-49bd-81ed-ec09ef3eb9f8,,,,,,3,man,white,,fullemp,4,2,no,yes,no,no,,9,work,,,2,2,1,1,,,,"1,2",0,0,,no,,,,,,,,,,,,,,yes,,,,,,,6/19/2025 9:06:58 PM,,6/19/2025 9:06:58 PM,,,0,0
60,44b5ca28-5858-46a5-85ce-22725f97a444,,,,,,2,woman,white,,fullemp,4,2,yes,no,no,yes,3,,"work,shopping,hobby",,work,3,2,2,5,,,,"2,4",2,0,,yes,1,change,,,,4,4,1,"bus,car,pedestrian,cyclist,intersection",yes,"roadquality,intersection,roadside",,2,yes,"The cycle way feels a lot safer than the shared road, especially during rush hour. Moving from cycleway to shared road, especially around the junction near Marino crescent can be dangerous and chaotic, as traffic is often congested. Busses and cars sometimes don't notice cyclists while turning.",1,0,"Bus traffic tends to be faster, as they no longer need to overtake cyclists.",,,6/19/2025 9:27:55 PM,,6/19/2025 9:27:55 PM,,"Yes I've noticed them, but they seem rather pointless for cyclists at times. Regular zebra crossings would probably be more useful. Sometimes cyclists use the traffic lights to cross the road, causing a chaotic moment when both cyclists and pedestrians cross.",0,0
61,a1503786-2af8-4573-8c16-18e7ea95526a,,,,,,3,man,white,,fullemp,4,2,yes,no,yes,yes,5,,"work,hobby,social",,work,3,2,3,5,,,,"1,2",1,0,,yes,2,yes,3,3,4,,,,"car,cyclist,pedestrian,intersection,bus",yes,"cyclists,intersection",,1,no,,,,,,,6/19/2025 9:35:52 PM,,6/19/2025 9:35:52 PM,,,0,0
62,d09507f5-dda1-4912-899c-fdd7fc58c906,,,,,,2,woman,white,,fullemp,4,2,yes,yes,yes,yes,3,,"work,shopping,hobby,social,leisure",,social,1,2,3,4,,,,"1,2,3",2,0,,yes,3,more,5,4,0,,,,"cyclist,car,pedestrian,intersection,bus",yes,trafficlight,,3,yes,,,,,,,6/19/2025 10:05:24 PM,,6/19/2025 10:05:24 PM,,,0,0
63,879f61f6-ad1a-4f90-82ce-facb2f6d321d,,,,,,2,man,white,,fullemp,4,3,yes,no,yes,yes,9,,"work,hobby",,work,2,2,3,5,,,,"1,2",1,0,,yes,3,yes,4,1,1,,,,"car,pedestrian,cyclist,bus,intersection",yes,trafficlight,,2,yes,"It’s a tighter cycle path along the cycle way compared to being on the road, passing is a technical manoeuvre that can be risky, need to significantly slow down for passing. Typically you’d expect 200-300mm wider cycle path for passing",,3,More variety in the cyclists along the route,,,6/19/2025 10:41:02 PM,,6/19/2025 10:41:02 PM,,"Yes I’ve noticed, I haven’t seen them used yet, it’s unfortunate they are installed as cyclist evidently are not stopping for pedestrians at the already installed zebras crossing ",0,0
64,42719ab1-488b-4204-8bcf-950789b85a1e,,,,,,3,man,white,,fullemp,4,2,yes,no,yes,yes,3,,"work,hobby,leisure",,work,4,2,3,4,,,,"1,2,3,4",1,1,,yes,2,change,,,,5,4,0,"car,intersection,cyclist,pedestrian,bus",no,,,1,no,,,,,,,6/19/2025 10:58:02 PM,,6/19/2025 10:58:02 PM,,,0,0
65,f2a1e9aa-03fe-4a25-8727-e70c69d7703a,,,,,,3,man,white,,fullemp,3,1,yes,no,yes,yes,17,,"work,shopping,leisure",,work,17,2,3,4,,,,"1,2,3,4",2,0,,yes,3,yes,5,3,1,,,,"car,cyclist,pedestrian,intersection,bus",no,,,1,yes,Cycleway much safer ,2,2,,,,6/19/2025 10:58:32 PM,,6/19/2025 10:58:32 PM,,,0,0
66,904b4092-6c61-4aa6-8421-4a03d93b2ada,,,,,,4,man,white,,na,4,1,yes,no,no,yes,6W,,"shopping,leisure",,leisure,0,2,3,5,,,,"1,2",1,0,,yes,3,no,,,,,,,"car,intersection,bus,pedestrian,cyclist",yes,trafficlight,,1,yes,"I turn off before Connolly and follow the Royal Canal towards the Samuel Becket Bridge. I am using shared road at Clontarf because of works on the cycleway along the promenade. It is inconvenient to cross the road using a pedestrian signal crossing to access he open part of the cycleway but it does not feel 'unsafe'.
I have noticed people leave the cycle way at the Howth Road junction because it enables them to make progress past the junction towards Clontarf even if they are in the left-turning lane. Whereas they would be stopped by the cycleway lights otherwise. ",,,,,,6/19/2025 11:02:18 PM,,6/19/2025 11:02:18 PM,,"I am presuming this is in reference to crossings that cross the road. Yes for pedestrians, probably. I use judgement, if there is no pedestrian and the light is red then I will proceed through the red light. With respect to 'mini zebra crossings' on the cycle way itself I have not seen any traffic light system implemented.",0,0
67,1364a33e-777f-4ea6-8075-5fa8437b5308,,,,,,2,man,white,,fullemp,4,0,no,yes,no,no,,2,"work,multi-mode,social",,work,2,1,3,4,,,,1,0,0,,yes,0,change,,,,5,5,1,"car,cyclist,pedestrian,intersection,bus",no,,,1,yes,"Much better. The tie in points at Connolly are poor, but I accept there will be a scheme to extend this to the quays in the near future ",,,"The area feels considerably more gentrified. I would have actively avoided this area before, but feel safe here now",,,6/20/2025 12:08:11 AM,,6/20/2025 12:08:11 AM,,"No, cyclists will continue as is most convenient for them at any moment in time. I have ignored these lights as a fairly obedient cyclist, nevermind a cyclist in a rush, unaware of rules or ignorant to them",0,0
68,b804084c-d1e3-41b9-842f-0fb56f58457d,,,,,,3,man,white,,fullemp,4,3,yes,no,yes,yes,16,,"work,leisure",,work,6,2,1,5,,,,"1,2",1,0,,yes,0,yes,4,3,1,,,,"car,intersection,cyclist,bus,pedestrian",yes,"roadquality,other",Cars/other vehicles impeding the cycleway,1,yes,,0,0,,,,6/20/2025 8:38:06 AM,,6/20/2025 8:38:06 AM,,"They are effective however often ignored by other cyclists (anecdotally, this is more often Dublin Bikes users than cyclists on their own bikes.)",0,0
69,4ef5ac19-e55f-49c7-871a-37d903fcdd43,,,,,,2,man,white,,fullemp,4,2,yes,no,yes,yes,5,,"work,social,leisure",,work,2,2,1,4,,,,"1,2,3",1,0,,yes,1,yes,4,3,1,,,,"car,cyclist,intersection,pedestrian,bus",yes,"cyclists,trafficlight",,1,yes,,1,3,,,,6/20/2025 8:42:08 AM,,6/20/2025 8:42:08 AM,,,0,0
70,afb8258b-1e49-446e-8ba3-eed45588e320,,,,,,3,man,na,,fullemp,4,2,yes,no,no,yes,3,,work,,,1,1,2,5,,,,"1,2",1,0,,yes,0,change,,,,3,0,5,"cyclist,pedestrian,bus,intersection,car",yes,"busstop,pedestrians,cyclists,trafficlight",,1,no,,,,,,,6/20/2025 8:50:20 AM,,6/20/2025 8:50:20 AM,,,0,0
71,901da22e-f46c-453d-842e-0140dadd47d5,,,,,,4,woman,white,,fullemp,4,2,yes,yes,yes,yes,9,,"shopping,hobby,social,leisure",,hobby,11,2,3,5,,,,2,2,0,,yes,1,more,5,1,0,,,,"car,intersection,bus,cyclist,pedestrian",no,,,1,no,,,,,,,6/20/2025 9:45:23 AM,,6/20/2025 9:45:23 AM,,,0,0
72,8d170317-47c6-41ac-82a5-5950ccd75bd3,,,,,,2,man,white,,fullemp,4,0,yes,yes,no,yes,8,,"shopping,hobby,social,leisure",,social,2,1,2,3,,,,4,1,0,,yes,0,yes,5,4,1,,,,"car,bus,intersection,cyclist,pedestrian",yes,cyclists,,1,no,,,,,,,6/20/2025 1:10:46 PM,,6/20/2025 1:10:46 PM,,,0,0
73,d1f523c5-b732-45bd-84c0-fcc4a1324a25,,,,,,2,man,white,,fullemp,4,0,yes,no,yes,yes,4,,"work,shopping,hobby,social,leisure",,hobby,4,2,2,3,,,,"1,2,4",1,0,,yes,0,change,,,,4,1,1,"car,cyclist,pedestrian,bus,intersection",yes,"pedestrians,cyclists",,1,no,,,,,,,6/20/2025 1:44:55 PM,,6/20/2025 1:44:55 PM,,,0,0
74,8ef7d8af-f334-4883-85e8-091181df6b2c,,,,,,3,man,white,,fullemp,4,2,yes,no,yes,yes,5,,"work,shopping,hobby,social,leisure",,work,2,2,3,5,,,,"1,2",1,1,,yes,3,yes,1,1,1,,,,"pedestrian,car,cyclist,intersection,bus",yes,"pedestrians,cyclists",,2,yes,"I love cycling in bus lanes and cycle lanes integrated with traffic as I cycle approximately at similar speed as urban traffic and as that separates me well from erratically moving pedestrians. Also it reduces the chance to encounter electric bikes coming on to me on a narrow bike path in reverse direction (inner city youth violating direction of cycle path). 

 I feel that feeder junctions for cars have become very dangerous for me as a cyclist as cars pull up to the road across the bike path making it very dangerous to cycle at speeds beyond 20km/h.",1,,,,,6/20/2025 2:05:22 PM,,6/20/2025 2:05:22 PM,,Noticed. They are not effective.,0,0
75,35f372d1-3922-4638-8bcc-604e6720fceb,,,,,,2,man,white,,fullemp,4,2,yes,no,yes,yes,9,,"work,multi-mode,shopping,hobby,social",,social,2,2,3,4,,,,2,1,0,,yes,2,no,,,,,,,"car,intersection,cyclist,pedestrian,bus",no,,,1,yes,,,,,,,6/20/2025 4:32:30 PM,,6/20/2025 4:32:30 PM,,,0,0
76,f3d03034-3830-48bc-8625-345b8e9fc4a1,,,,,,3,woman,white,,fullemp,4,2,yes,no,yes,yes,5,,"work,education,social,leisure",,work,7,2,2,5,,,,2,2,0,,yes,2,yes,5,4,1,,,,"car,intersection,bus,cyclist,pedestrian",no,,,1,yes,I feel much safer on the segregated cycle track,,,"More pleasant environment, benches, trees, lovely surfacing materials",,,6/21/2025 7:07:29 AM,,6/21/2025 7:07:29 AM,,I have noticed but I don't think they are effective,0,0
77,2aa9ea6d-88ef-4039-85c6-924f75163af0,,,,,,3,woman,white,,partemp,3,0,no,yes,no,yes,8,,leisure,,,8,0,1,1,,,,1,0,0,,yes,0,no,,,,,,,"car,intersection,pedestrian,bus,cyclist",unsure,"pedestrians,intersection,roadside",,1,no,,,,,,,6/21/2025 9:03:00 PM,,6/21/2025 9:03:00 PM,,,0,0
78,9d35cafc-6584-43c4-8af1-614423239438,,,,,,2,man,white,,fullemp,4,2,yes,yes,no,yes,20,,"work,shopping,hobby,social,leisure",,work,2,1,2,5,,,,"1,2,3",2,0,,yes,1,more,5,3,1,,,,"intersection,car,bus,cyclist,pedestrian",unsure,"roadquality,busstop,intersection",,1,,,,,,,,6/23/2025 4:56:30 PM,,6/23/2025 4:56:30 PM,,,0,0
79,3cc5eb52-ad7c-46a3-80a5-fee2d2f2a53e,,,,,,3,man,white,,none,4,2,yes,no,no,yes,11,,leisure,,,2,na,1,5,,,,"1,4",1,0,,yes,0,yes,4,3,3,,,,"car,intersection,pedestrian,cyclist,bus",no,,,1,yes,"Like other cycleways, it's harder to get around encroachments than when on the road. Being kerbed in is a minimal hindrance for trucks and vans, but requires dismounting for cyclists.",,,The volume of cyclists has increased.,,,6/24/2025 1:00:18 PM,,6/24/2025 1:00:18 PM,,I've noticed them but not seen them in use.,0,0
80,374fbfa6-26e5-4898-8254-aa671f153237,,,,,,2,man,white,,fullemp,4,3,yes,yes,no,yes,16,,"work,multi-mode,shopping,hobby,social,leisure",,work,1,2,3,4,,,,2,1,0,,yes,3,change,,,,5,4,0,"car,intersection,bus,cyclist,pedestrian",yes,"busstop,intersection,trafficlight,other",Taxi rank ,1,yes,RE: Transition: going northbound up from the Quays it is a relief to finally get onto the segregated infrastructure past the talbot street junction,,1,More Cyclists ,,,6/24/2025 1:00:50 PM,,6/24/2025 1:00:50 PM,,"I suspect the kind of person who wouldn't let a vulnerable person cross from the bus stop is the same kind that would also ignore the cycle stop lights, so I think they are completely usesless, except for how the trial is data point to prove that they should not be rolled out further",0,0
81,87aede08-5f73-428f-84ea-16d872ca1332,,,,,,4,man,white,,fullemp,4,2,yes,no,yes,yes,12,,"work,leisure",,work,1,2,2,5,,,,"1,2,4",2,0,,yes,0,more,5,4,1,,,,"pedestrian,car,intersection,cyclist,bus",yes,"busstop,intersection",,1,yes,Feel more vulnerable on other sections,1,2,It is becoming popular,,,6/25/2025 8:59:12 AM,,6/25/2025 8:59:12 AM,,"Noticed them inbound but to be honest, ignored them.",0,0
82,19c83941-7839-4cb8-81f6-4edc6cf2c7c7,,,,,,2,man,white,,fullemp,4,2,yes,no,no,yes,13,,"work,social",,work,3,2,3,3,,,,1,0,2,,yes,3,change,,,,4,4,1,"car,cyclist,pedestrian,intersection,bus",unsure,"roadquality,busstop,pedestrians,cyclists",,1,no,,,,,,,6/25/2025 9:28:46 AM,,6/25/2025 9:28:46 AM,,,0,0
83,0de050f6-5d36-481d-83ea-fc3c0116ca20,,,,,,1,woman,white,,fulled,4,0,yes,no,no,yes,12,,"education,shopping,hobby,leisure",,education,2,2,3,2,,,,"1,2",0,0,,yes,0,no,,,,,,,"intersection,bus,car,pedestrian,cyclist",unsure,"busstop,trafficlight",,1,no,,,,,,,6/26/2025 8:03:34 AM,,6/26/2025 8:03:34 AM,,,0,0
84,15244b6a-25a5-449b-80d5-e920bbec2e7d,,,,,,3,man,white,,fullemp,4,3,yes,no,yes,yes,7,,"work,multi-mode,hobby",,work,3,2,2,5,,,,"1,2,3,4",2,0,,yes,1,yes,4,1,1,,,,"car,cyclist,pedestrian,intersection,bus",yes,"busstop,cyclists,roadside",,1,yes,"The new cycle way is more relaxed and I don't feel under pressure to go as fast as possible tontry keep up wothbroad traffic like I did on the old road.

",1,2,More cyclist traffic and a generally more pleasant environment,,,6/26/2025 11:09:30 AM,,6/26/2025 11:09:30 AM,,I've seen them but majority of cyclists ignore them,0,0
85,fdb948ce-6d85-4678-86eb-83c8308643e9,,,,,,na,non-binary,arab,,na,na,3,no,no,no,no,,1,other,,,1,na,0,,no,,,0,0,0,,no,,,,,,,,,,,,,,yes,all cyclists are bastards,,,,,,6/26/2025 3:34:37 PM,,6/26/2025 3:34:37 PM,,,0,0
86,5bb2b061-aa58-4490-8c67-cc692927d84f,,,,,,4,man,white,,fullemp,4,2,yes,yes,yes,yes,3,,"work,shopping,hobby,leisure",,work,2,1,2,5,,,,"1,2,4",2,1,,yes,2,yes,5,4,1,,,,"car,pedestrian,bus,intersection,cyclist",no,,,1,yes,It’s safer and smoother. The only increased risk of accident is where people getting on and off bus stops have to cross. Most cyclists don’t slow down for zebra crossing and a young child or older person will be seriously injured or killed in next 12 months at these intersections.,1,4,"Have been nearly hit by cyclists flying through red lights at Fairview park/malahide rd junction.
Psychologically cyclists see the bike lane as a motorway or “freeway” installed to give them uninterrupted flow to their destination. This makes them less likely to stop at their red lights and zebra crossings.",,,7/1/2025 2:35:51 PM,,7/1/2025 2:35:51 PM,,"Yes, they don’t seem to be working. We need a cultural shift towards respect for other road users. And for cyclists to understand that their bike is dangerous to pedestrians at speed- potentially fatal to vulnerable people like children or old people.",0,0
87,3f33426c-fbf5-4b86-8c4d-2c511a5bba1b,,,,,,4,man,white,,fullemp,4,2,yes,no,yes,yes,9,,"hobby,leisure",,leisure,9,na,2,5,,,,"1,2,3",1,0,,yes,0,yes,4,3,3,,,,"car,bus,pedestrian,intersection,cyclist",yes,"busstop,trafficlight,roadside",,1,no,,,,,,,7/3/2025 9:32:58 AM,,7/3/2025 9:32:58 AM,,,0,0
88,dec82ca5-a329-4332-83af-89d85912921c,,,,,,4,man,white,,fullemp,4,2,yes,yes,yes,yes,4,,"work,shopping,hobby,social,leisure",,work,1,2,3,5,,,,"1,2,3",1,1,,yes,3,more,5,4,0,,,,"bus,car,intersection,cyclist,pedestrian",yes,"roadquality,busstop,intersection",,1,no,,,,,,,7/3/2025 10:04:28 AM,,7/3/2025 10:04:28 AM,,,0,0
89,50e7499c-0a13-44c0-89ee-9ce5cef47161,,,,,,1,man,white,,fullemp,4,0,yes,no,no,yes,1,,work,,,2,2,2,5,,,,"1,2,4",1,0,,yes,0,more,5,4,0,,,,"car,intersection,bus,pedestrian,cyclist",yes,trafficlight,,1,yes,The road surface is much worse off the cycleway.,,2,As a pedestrian you feel further from road traffic which is nice.,,,7/5/2025 7:43:54 AM,,7/5/2025 7:43:54 AM,,,0,0
